R,K
1.3676377910116622,7.657066629192254
1.3508082714455336,8.173300315125552
1.3489684639086066,8.116876734079966
1.2186913572944291,12.973339471390986
1.2554634710096784,11.20182148677049
1.248103906759923,11.444519996771817
1.2368105817173898,11.971257969903334
1.2486124943010415,11.758259942961482
1.2463008679973575,11.61124773349379
1.2225040475431965,12.451287662746294
1.2170554831477105,12.954236997722369
1.2206276846557247,13.076699887949664
1.2129564155767705,12.987701071056083
1.1912446108749457,14.370191951893894
1.1972739274452877,14.794899219536097
1.2068724198202925,14.079387748284253
1.2068724198202925,14.079387748284253
1.2021507612549123,14.26862208163392
1.1905434878114187,15.2224455111413
1.1933240059491874,15.355409895393631
1.2482009134415222,11.223517572076464
1.2753561141046272,10.443331741580673
1.2773410253416846,10.613664141727572
1.2193884691094825,13.126291539605104
1.205782597583747,13.993044346538023
1.216348429115041,13.159612649720989
1.2157276150258651,13.181055863541415
1.2769383324900134,10.12008313299942
1.2226292826745075,13.041964377254486
1.2201111157822215,12.826295025648752
1.2765941734790343,10.303995132676306
1.2863179405954026,10.00637020679124
1.2848683190674783,9.878826907832776
1.3173507490136689,8.943931220783435
1.2981237074343124,9.547739208494393
1.3000204713028756,9.633680641661037
1.2991692462660687,9.488447372743625
1.3045442359806518,9.29967490495553
1.306103751729432,9.19053419035069
1.2155637226838807,13.926857818864246
1.213863399067192,14.200972000467102
1.1900918559197542,14.505114338855037
1.1891732255955283,15.3543274156052
1.1871387012374681,15.200184045279292
1.1938413123859948,15.426121411121544
1.1862893147221494,14.859022139450415
1.194475129342529,14.0918629394168
1.1991622969236795,14.941041492944292
1.192687571263085,14.162165620035909
1.1975259779963179,14.581957305769949
1.1990278297089187,14.662532550936335
1.1864734633929752,15.44335198428636
1.1885205526307692,15.089463811536298
1.1870809283974555,15.42823118219824
1.1870809283974555,15.42823118219824
1.1759540279315832,16.643983769737265
1.1699175152900698,16.286524614007657
1.1790736228073442,16.58214627166565
1.1721545707675836,16.978930169974642
1.1904195481624948,15.206238230147827
1.20285042384722,13.795754739239706
1.2040503233795785,13.881931640800254
1.2107802122265143,14.324055717191543
1.2265942406558177,13.120097332100377
1.2200896152220815,12.843758318876711
1.2470272480891316,11.61650541364947
1.224929787259775,12.608784994605138
1.26694184520107,10.563646213908518
1.2617332595226538,11.004315112808351
1.2559926161722101,10.904040407374769
1.3214403789293994,8.73625342857248
1.3417067371882254,8.247545258597906
1.2849498124462388,10.018316365433304
1.2003807769700205,14.225301507936216
1.200887468260987,13.811121517664102
1.2321190311311725,12.704094281818453
1.2229580481609998,12.53963761272322
1.2268726506231613,12.880580513571697
1.2225477879600868,12.650790681524718
1.2731577263067573,10.252031080059597
1.2411427794659076,11.552085443603659
1.2625084890536231,10.975673809241036
1.2524224769643826,11.255960563051012
1.255145903713662,11.46736549912632
1.2227808496708756,12.544003024784375
1.2227808496708756,12.544003024784375
1.3092206002373274,8.974361987859755
1.2860271232970024,9.677317023961045
1.214063133826121,13.384849451873363
1.287616939728219,9.866743560473603
1.252733468572199,11.597216580680056
1.2750024438840084,10.44029848022928
1.2709746087698564,10.394560130970625
